treatment,session,subject,period,board,expect,box,result,boardtype
independent,140307_1500,2,1,yellow,7,27,miss,low
independent,140307_1500,3,1,yellow,7,27,miss,low
independent,140307_1500,4,1,yellow,5,27,miss,low
independent,140307_1500,5,1,yellow,5,27,miss,low
independent,140307_1500,6,1,yellow,4,27,miss,low
independent,140307_1500,7,1,yellow,2,27,miss,low
independent,140307_1500,8,1,yellow,6,27,miss,low
independent,140307_1500,2,2,blue,8,67,miss,low
independent,140307_1500,3,2,blue,6,67,miss,low
independent,140307_1500,4,2,blue,5,67,miss,low
independent,140307_1500,5,2,blue,6,67,miss,low
independent,140307_1500,6,2,blue,4,67,miss,low
independent,140307_1500,7,2,blue,2,67,miss,low
independent,140307_1500,8,2,blue,9,67,miss,low
independent,140307_1500,2,3,blue,6,86,miss,low
independent,140307_1500,3,3,blue,4,86,miss,low
independent,140307_1500,4,3,blue,4,86,miss,low
independent,140307_1500,5,3,blue,6,86,miss,low
independent,140307_1500,6,3,blue,5,86,miss,low
independent,140307_1500,7,3,blue,2,86,miss,low
independent,140307_1500,8,3,blue,10,86,miss,low
independent,140307_1500,2,4,yellow,6,73,miss,low
independent,140307_1500,3,4,yellow,5,73,miss,low
independent,140307_1500,4,4,yellow,4,73,miss,low
independent,140307_1500,5,4,yellow,8,73,miss,low
independent,140307_1500,6,4,yellow,5,73,miss,low
independent,140307_1500,7,4,yellow,2,73,miss,low
independent,140307_1500,8,4,yellow,10,73,miss,low
independent,140307_1500,2,5,yellow,3,10,miss,low
independent,140307_1500,3,5,yellow,4,10,miss,low
independent,140307_1500,4,5,yellow,3,10,miss,low
independent,140307_1500,5,5,yellow,8,10,miss,low
independent,140307_1500,6,5,yellow,5,10,miss,low
independent,140307_1500,7,5,yellow,2,10,miss,low
independent,140307_1500,8,5,yellow,8,10,miss,low
independent,140307_1500,2,6,blue,4,24,miss,low
independent,140307_1500,3,6,blue,4,24,miss,low
independent,140307_1500,4,6,blue,3,24,miss,low
independent,140307_1500,5,6,blue,2,24,miss,low
independent,140307_1500,6,6,blue,5,24,miss,low
independent,140307_1500,7,6,blue,2,24,miss,low
independent,140307_1500,8,6,blue,9,24,miss,low
independent,140307_1500,2,7,blue,2,80,hit,low
independent,140307_1500,3,7,blue,4,80,hit,low
independent,140307_1500,4,7,blue,2,80,hit,low
independent,140307_1500,5,7,blue,9,80,hit,low
independent,140307_1500,6,7,blue,5,80,hit,low
independent,140307_1500,7,7,blue,2,80,hit,low
independent,140307_1500,8,7,blue,4,80,hit,low
independent,140307_1500,2,8,blue,6,14,miss,low
independent,140307_1500,3,8,blue,5,14,miss,low
independent,140307_1500,4,8,blue,3,14,miss,low
independent,140307_1500,5,8,blue,10,14,miss,low
independent,140307_1500,6,8,blue,5,14,miss,low
independent,140307_1500,7,8,blue,2,14,miss,low
independent,140307_1500,8,8,blue,5,14,miss,low
independent,140307_1500,2,9,yellow,2,46,hit,low
independent,140307_1500,3,9,yellow,4,46,hit,low
independent,140307_1500,4,9,yellow,3,46,hit,low
independent,140307_1500,5,9,yellow,2,46,hit,low
independent,140307_1500,6,9,yellow,5,46,hit,low
independent,140307_1500,7,9,yellow,2,46,hit,low
independent,140307_1500,8,9,yellow,6,46,hit,low
independent,140307_1500,2,10,yellow,5,95,miss,low
independent,140307_1500,3,10,yellow,4,95,miss,low
independent,140307_1500,4,10,yellow,3,95,miss,low
independent,140307_1500,5,10,yellow,2,95,miss,low
independent,140307_1500,6,10,yellow,5,95,miss,low
independent,140307_1500,7,10,yellow,2,95,miss,low
independent,140307_1500,8,10,yellow,4,95,miss,low
independent,140307_1601,2,1,yellow,5,86,miss,high
independent,140307_1601,3,1,yellow,2,86,miss,high
independent,140307_1601,4,1,yellow,4,86,miss,high
independent,140307_1601,5,1,yellow,6,86,miss,high
independent,140307_1601,6,1,yellow,2,86,miss,high
independent,140307_1601,7,1,yellow,8,86,miss,high
independent,140307_1601,8,1,yellow,3,86,miss,high
independent,140307_1601,9,1,yellow,6,86,miss,high
independent,140307_1601,2,2,yellow,5,57,miss,high
independent,140307_1601,3,2,yellow,2,57,miss,high
independent,140307_1601,4,2,yellow,4,57,miss,high
independent,140307_1601,5,2,yellow,6,57,miss,high
independent,140307_1601,6,2,yellow,5,57,miss,high
independent,140307_1601,7,2,yellow,6,57,miss,high
independent,140307_1601,8,2,yellow,2,57,miss,high
independent,140307_1601,9,2,yellow,5,57,miss,high
independent,140307_1601,2,3,blue,5,54,miss,low
independent,140307_1601,3,3,blue,2,54,miss,low
independent,140307_1601,4,3,blue,4,54,miss,low
independent,140307_1601,5,3,blue,6,54,miss,low
independent,140307_1601,6,3,blue,1,54,miss,low
independent,140307_1601,7,3,blue,3,54,miss,low
independent,140307_1601,8,3,blue,3,54,miss,low
independent,140307_1601,9,3,blue,3,54,miss,low
independent,140307_1601,2,4,blue,4,25,miss,low
independent,140307_1601,3,4,blue,2,25,miss,low
independent,140307_1601,4,4,blue,3,25,miss,low
independent,140307_1601,5,4,blue,5,25,miss,low
independent,140307_1601,6,4,blue,4,25,miss,low
independent,140307_1601,7,4,blue,2,25,miss,low
independent,140307_1601,8,4,blue,2,25,miss,low
independent,140307_1601,9,4,blue,4,25,miss,low
independent,140307_1601,2,5,yellow,4,90,miss,high
independent,140307_1601,3,5,yellow,2,90,miss,high
independent,140307_1601,4,5,yellow,3,90,miss,high
independent,140307_1601,5,5,yellow,5,90,miss,high
independent,140307_1601,6,5,yellow,6,90,miss,high
independent,140307_1601,7,5,yellow,2,90,miss,high
independent,140307_1601,8,5,yellow,2,90,miss,high
independent,140307_1601,9,5,yellow,4,90,miss,high
independent,140307_1601,2,6,blue,3,98,miss,low
independent,140307_1601,3,6,blue,2,98,miss,low
independent,140307_1601,4,6,blue,3,98,miss,low
independent,140307_1601,5,6,blue,4,98,miss,low
independent,140307_1601,6,6,blue,10,98,miss,low
independent,140307_1601,7,6,blue,2,98,miss,low
independent,140307_1601,8,6,blue,2,98,miss,low
independent,140307_1601,9,6,blue,4,98,miss,low
independent,140307_1601,2,7,yellow,4,89,miss,high
independent,140307_1601,3,7,yellow,2,89,miss,high
independent,140307_1601,4,7,yellow,2,89,miss,high
independent,140307_1601,5,7,yellow,3,89,miss,high
independent,140307_1601,6,7,yellow,9,89,miss,high
independent,140307_1601,7,7,yellow,2,89,miss,high
independent,140307_1601,8,7,yellow,2,89,miss,high
independent,140307_1601,9,7,yellow,4,89,miss,high
independent,140307_1601,2,8,blue,4,62,miss,low
independent,140307_1601,3,8,blue,2,62,miss,low
independent,140307_1601,4,8,blue,2,62,miss,low
independent,140307_1601,5,8,blue,3,62,miss,low
independent,140307_1601,6,8,blue,7,62,miss,low
independent,140307_1601,7,8,blue,2,62,miss,low
independent,140307_1601,8,8,blue,2,62,miss,low
independent,140307_1601,9,8,blue,3,62,miss,low
independent,140307_1601,2,9,blue,4,80,hit,low
independent,140307_1601,3,9,blue,2,80,hit,low
independent,140307_1601,4,9,blue,2,80,hit,low
independent,140307_1601,5,9,blue,4,80,hit,low
independent,140307_1601,6,9,blue,6,80,hit,low
independent,140307_1601,7,9,blue,2,80,hit,low
independent,140307_1601,8,9,blue,2,80,hit,low
independent,140307_1601,9,9,blue,3,80,hit,low
independent,140307_1601,2,10,yellow,4,65,miss,high
independent,140307_1601,3,10,yellow,2,65,miss,high
independent,140307_1601,4,10,yellow,3,65,miss,high
independent,140307_1601,5,10,yellow,4,65,miss,high
independent,140307_1601,6,10,yellow,5,65,miss,high
independent,140307_1601,7,10,yellow,2,65,miss,high
independent,140307_1601,8,10,yellow,2,65,miss,high
independent,140307_1601,9,10,yellow,3,65,miss,high
independent,140310_1602,2,1,yellow,6,65,miss,high
independent,140310_1602,3,1,yellow,2,65,miss,high
independent,140310_1602,4,1,yellow,4,65,miss,high
independent,140310_1602,5,1,yellow,10,65,miss,high
independent,140310_1602,6,1,yellow,4,65,miss,high
independent,140310_1602,7,1,yellow,3,65,miss,high
independent,140310_1602,8,1,yellow,4,65,miss,high
independent,140310_1602,9,1,yellow,2,65,miss,high
independent,140310_1602,2,2,blue,6,8,miss,low
independent,140310_1602,3,2,blue,2,8,miss,low
independent,140310_1602,4,2,blue,4,8,miss,low
independent,140310_1602,5,2,blue,7,8,miss,low
independent,140310_1602,6,2,blue,8,8,miss,low
independent,140310_1602,7,2,blue,2,8,miss,low
independent,140310_1602,8,2,blue,4,8,miss,low
independent,140310_1602,9,2,blue,2,8,miss,low
independent,140310_1602,2,3,blue,1,59,miss,low
independent,140310_1602,3,3,blue,2,59,miss,low
independent,140310_1602,4,3,blue,4,59,miss,low
independent,140310_1602,5,3,blue,5,59,miss,low
independent,140310_1602,6,3,blue,8,59,miss,low
independent,140310_1602,7,3,blue,3,59,miss,low
independent,140310_1602,8,3,blue,3,59,miss,low
independent,140310_1602,9,3,blue,2,59,miss,low
independent,140310_1602,2,4,yellow,1,73,miss,high
independent,140310_1602,3,4,yellow,2,73,miss,high
independent,140310_1602,4,4,yellow,2,73,miss,high
independent,140310_1602,5,4,yellow,5,73,miss,high
independent,140310_1602,6,4,yellow,10,73,miss,high
independent,140310_1602,7,4,yellow,3,73,miss,high
independent,140310_1602,8,4,yellow,2,73,miss,high
independent,140310_1602,9,4,yellow,2,73,miss,high
independent,140310_1602,2,5,yellow,1,74,hit,high
independent,140310_1602,3,5,yellow,2,74,hit,high
independent,140310_1602,4,5,yellow,5,74,hit,high
independent,140310_1602,5,5,yellow,5,74,hit,high
