treatment,participant,session,earnings,lospade_max,max1,choice1,max2,choice2,max3,choice3,max4,choice4,max5,choice5,max6,choice6,max7,choice7,experience,exp_group,gender,math,school,is_econ,native,nationality,age
"Post",16,12,7.1,1,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",1,"10diamond",1,"3spade",1,"5diamond",1,"Some","Male","NonMath","ECO",1,"Native","GBR",19
"Post",17,12,7.1,1,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",1,"10diamond",1,"3spade",1,"2spade",4,"Some","Male","NonMath","MED",0,"Native"," ",21
"Post",18,12,6.25,0,1,"Qheart",1,"5spade",0,"4spade",1,"Kdiamond",0,"Aspade",1,"3spade",1,"2spade",1,"Some","Female","Math","NBS",0,"NonNative","NIC",25
"Post",19,12,5.3,0,0,"6diamond",1,"5spade",0,"4spade",1,"Kdiamond",0,"Aspade",0,"4diamond",1,"5diamond",3,"Some","Female","NonMath","PSY",0,"Native","GBR",20
"Post",20,12,7.1,1,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",1,"10diamond",1,"3spade",1,"5diamond",2,"Some","Female","Math","PPL",0,"Native","GBR",19
"Post",21,12,7.1,1,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",1,"10diamond",1,"3spade",1,"2spade",1,"Some","Female","Math","LAW",0,"NonNative","POL",18
"Post",22,12,7,.5,1,"Qheart",1,"5spade",0,"4spade",1,"Kdiamond",1,"10diamond",1,"3spade",1,"5diamond",1,"Some","Female","NonMath","DEV",0,"NonNative","FRA",20
"Post",23,12,6.9,1,1,"Qheart",1,"5spade",1,"Jdiamond",0,"Jclub",1,"10diamond",1,"3spade",1,"5diamond",1,"Some","Male","Math","DEV",0,"Native","GBR",18
"Post",24,12,7.1,1,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",1,"10diamond",1,"3spade",1,"5diamond",0,"None","Male","Math","DEV",0,"NonNative","KEN",28
"Post",25,12,6,.5,0,"4club",1,"5spade",0,"4spade",1,"Kdiamond",1,"10diamond",1,"3spade",0,"3club",1,"Some","Female","Decline","LAW",0,"Native","GBR",19
"Post",26,12,7.1,1,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",1,"10diamond",1,"3spade",1,"5diamond",0,"None","Male","Math","HSC",0,"Native","GBR",21
"Post",27,12,6.65,.5,1,"Qheart",1,"5spade",0,"4spade",1,"Kdiamond",1,"10diamond",0,"4diamond",1,"2spade",0,"None","Female","NonMath","ENV",0,"Native","GBR",29
"Post",41,22,7.1,1,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",1,"10diamond",1,"3spade",1,"2spade",3,"Some","Female","NonMath","LDC",0,"Native","GBR",18
"Post",42,22,7.1,1,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",1,"10diamond",1,"3spade",1,"2spade",2,"Some","Female","Math","ECO",1,"Native","GBR",18
"Post",43,22,7.1,1,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",1,"10diamond",1,"3spade",1,"2spade",1,"Some","Female","Math","LDC",0,"NonNative","GBR",19
"Post",44,22,6.75,1,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",1,"10diamond",0,"4diamond",1,"5diamond",3,"Some","Female","Math","CMP",0,"Native","GBR",21
"Post",45,22,6.25,0,1,"Qheart",1,"5spade",0,"4spade",1,"Kdiamond",0,"Aspade",1,"3spade",1,"2spade",2,"Some","Female","Math","PSY",0,"Native","GBR",18
"Post",46,22,7.1,1,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",1,"10diamond",1,"3spade",1,"2spade",4,"Some","Female","Math","NBS",0,"Native","NGA",19
"Post",47,22,6.75,1,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",1,"10diamond",0,"4diamond",1,"5diamond",3,"Some","Male","Math","NBS",0,"NonNative","TWN",27
