"session","type","frame","period","group","subject","value","bid","won","earnings"
"S20041201","sealed","standard",1,0,0,315,210,0,0
"S20041201","sealed","standard",1,0,5,570,500,1,70
"S20041201","sealed","standard",1,0,8,390,320,0,0
"S20041201","sealed","standard",1,1,2,240,220,0,0
"S20041201","sealed","standard",1,1,6,510,480,1,30
"S20041201","sealed","standard",1,1,7,555,460,0,0
"S20041201","sealed","standard",1,2,1,30,20,0,0
"S20041201","sealed","standard",1,2,3,345,300,1,45
"S20041201","sealed","standard",1,2,4,285,250,0,0
"S20041201","sealed","standard",1,3,12,75,40,0,0
"S20041201","sealed","standard",1,3,13,420,330,0,0
"S20041201","sealed","standard",1,3,17,585,530,1,55
"S20041201","sealed","standard",1,4,10,450,380,1,70
"S20041201","sealed","standard",1,4,11,75,50,0,0
"S20041201","sealed","standard",1,4,16,390,350,0,0
"S20041201","sealed","standard",1,5,9,600,500,1,100
"S20041201","sealed","standard",1,5,14,570,400,0,0
"S20041201","sealed","standard",1,5,15,15,10,0,0
"S20041201","sealed","standard",2,0,0,525,400,1,125
"S20041201","sealed","standard",2,0,2,15,10,0,0
"S20041201","sealed","standard",2,0,5,330,230,0,0
"S20041201","sealed","standard",2,1,3,165,100,0,0
"S20041201","sealed","standard",2,1,4,210,170,1,40
"S20041201","sealed","standard",2,1,7,90,80,0,0
"S20041201","sealed","standard",2,2,1,540,470,1,70
"S20041201","sealed","standard",2,2,6,435,400,0,0
"S20041201","sealed","standard",2,2,8,75,200,0,0
"S20041201","sealed","standard",2,3,9,45,40,0,0
"S20041201","sealed","standard",2,3,11,480,440,1,40
"S20041201","sealed","standard",2,3,17,135,130,0,0
"S20041201","sealed","standard",2,4,10,240,170,0,0
"S20041201","sealed","standard",2,4,13,300,250,0,0
"S20041201","sealed","standard",2,4,15,585,500,1,85
"S20041201","sealed","standard",2,5,12,570,580,1,-10
"S20041201","sealed","standard",2,5,14,45,10,0,0
"S20041201","sealed","standard",2,5,16,150,130,0,0
"S20041201","sealed","standard",3,0,1,60,50,0,0
"S20041201","sealed","standard",3,0,5,345,300,1,45
"S20041201","sealed","standard",3,0,7,60,50,0,0
"S20041201","sealed","standard",3,1,3,45,20,0,0
"S20041201","sealed","standard",3,1,4,375,300,0,0
"S20041201","sealed","standard",3,1,8,255,460,1,-205
"S20041201","sealed","standard",3,2,0,195,180,0,0
"S20041201","sealed","standard",3,2,2,120,100,0,0
"S20041201","sealed","standard",3,2,6,345,250,1,95
"S20041201","sealed","standard",3,3,12,330,300,0,0
"S20041201","sealed","standard",3,3,15,405,350,1,55
"S20041201","sealed","standard",3,3,16,345,310,0,0
"S20041201","sealed","standard",3,4,9,255,150,0,0
"S20041201","sealed","standard",3,4,10,270,350,1,-80
"S20041201","sealed","standard",3,4,13,285,200,0,0
"S20041201","sealed","standard",3,5,11,405,380,0,0
"S20041201","sealed","standard",3,5,14,600,500,1,100
"S20041201","sealed","standard",3,5,17,285,280,0,0
"S20041201","sealed","standard",4,0,0,360,300,0,0
"S20041201","sealed","standard",4,0,1,360,270,0,0
"S20041201","sealed","standard",4,0,3,420,350,1,70
"S20041201","sealed","standard",4,1,2,75,60,0,0
"S20041201","sealed","standard",4,1,4,495,400,1,95
"S20041201","sealed","standard",4,1,6,105,50,0,0
"S20041201","sealed","standard",4,2,5,600,530,1,70
"S20041201","sealed","standard",4,2,7,75,70,0,0
"S20041201","sealed","standard",4,2,8,330,320,0,0
"S20041201","sealed","standard",4,3,9,255,230,0,0
"S20041201","sealed","standard",4,3,14,30,10,0,0
"S20041201","sealed","standard",4,3,16,285,270,1,15
"S20041201","sealed","standard",4,4,10,360,260,0,0
"S20041201","sealed","standard",4,4,15,465,400,1,65
"S20041201","sealed","standard",4,4,17,105,100,0,0
"S20041201","sealed","standard",4,5,11,435,400,0,0
"S20041201","sealed","standard",4,5,12,525,580,1,-55
"S20041201","sealed","standard",4,5,13,585,490,0,0
"S20041201","sealed","standard",5,0,0,300,270,0,0
"S20041201","sealed","standard",5,0,5,495,420,0,0
"S20041201","sealed","standard",5,0,8,600,490,1,110
"S20041201","sealed","standard",5,1,2,330,310,0,0
"S20041201","sealed","standard",5,1,4,495,400,0,0
"S20041201","sealed","standard",5,1,7,525,450,1,75
"S20041201","sealed","standard",5,2,1,345,330,1,15
"S20041201","sealed","standard",5,2,3,360,300,0,0
"S20041201","sealed","standard",5,2,6,390,300,0,0
"S20041201","sealed","standard",5,3,9,555,440,1,115
"S20041201","sealed","standard",5,3,13,180,170,0,0
"S20041201","sealed","standard",5,3,17,375,370,0,0
"S20041201","sealed","standard",5,4,14,225,200,0,0
"S20041201","sealed","standard",5,4,15,375,300,0,0
"S20041201","sealed","standard",5,4,16,585,450,1,135
"S20041201","sealed","standard",5,5,10,180,600,1,-420
"S20041201","sealed","standard",5,5,11,285,260,0,0
"S20041201","sealed","standard",5,5,12,375,200,0,0
"S20041201","sealed","standard",6,0,2,345,360,0,0
"S20041201","sealed","standard",6,0,5,30,20,0,0
"S20041201","sealed","standard",6,0,8,510,470,1,40
"S20041201","sealed","standard",6,1,1,450,400,0,0
"S20041201","sealed","standard",6,1,4,435,400,1,35
"S20041201","sealed","standard",6,1,6,345,300,0,0
"S20041201","sealed","standard",6,2,0,135,130,0,0
"S20041201","sealed","standard",6,2,3,105,70,0,0
"S20041201","sealed","standard",6,2,7,195,150,1,45
"S20041201","sealed","standard",6,3,11,255,200,0,0
"S20041201","sealed","standard",6,3,12,390,400,1,-10
"S20041201","sealed","standard",6,3,14,180,160,0,0
